"filename", "language", "Dart", "comment", "blank", "total"
"d:\flutterproject\TackosApp\lib\bmiberegner\calc_brain.dart", "Dart", 29, 0, 7, 36
"d:\flutterproject\TackosApp\lib\bmiberegner\screens\input_page.dart", "Dart", 397, 0, 6, 403
"d:\flutterproject\TackosApp\lib\bmiberegner\screens\results_page.dart", "Dart", 94, 0, 4, 98
"d:\flutterproject\TackosApp\lib\main.dart", "Dart", 73, 1, 9, 83
"d:\flutterproject\TackosApp\lib\screens\auth_screen.dart", "Dart", 75, 0, 8, 83
"d:\flutterproject\TackosApp\lib\screens\exercise.dart", "Dart", 218, 3, 6, 227
"d:\flutterproject\TackosApp\lib\screens\intro_slider.dart", "Dart", 64, 1, 8, 73
"d:\flutterproject\TackosApp\lib\screens\leaderboard.dart", "Dart", 1296, 1, 2, 1299
"d:\flutterproject\TackosApp\lib\screens\mian_page.dart", "Dart", 300, 5, 10, 315
"d:\flutterproject\TackosApp\lib\screens\workouts.dart", "Dart", 0, 0, 2, 2
"d:\flutterproject\TackosApp\lib\widgets\auth\auth_form.dart", "Dart", 204, 4, 8, 216
"Total", "-", 2750, 15, 70, 2835
